看小区园林 格局方正实用 通风采光好 刚需上车,美心翠拥华庭一期,番禺客运站,3室2厅 ,86.86, 北 , 简装 ,6, 2004年 , 塔楼,2,24,1760000.0,"20,263元/平",VR房源 房本满五年 随时看房 
此房满五，通透格局，视野宽阔，采光充足，装修保养好,瀚林水岸,滨江东,3室2厅 ,110.0, 东 东南 , 精装 ,27, 2006年 , 塔楼,22, 一年前发布,6600000.0,"60,000元/平",近地铁 VR看装修 房本满五年 
08年楼盘，楼龄新，近太古汇，视野开阔 业主诚卖,嘉宝华庭,龙口西,3室2厅 ,122.31, 东 南 西南 , 简装 ,29, 2008年 , 板塔结合,9, 3个月以前发布,8300000.0,"67,861元/平",近地铁 VR看装修 房本满五年 
翠屏中惠雅苑2014年楼龄南向四房封闭小区管理人车分流,翠屏中惠雅苑,宝岗,4室2厅 ,160.41, 南 , 精装 ,33, 2009年 , 塔楼,1, 4个月以前发布,8980000.0,"55,982元/平",近地铁 VR房源 房本满五年 
南向4房拎包入住   生活便利  中高楼层通风采光好,佳兆业城市广场,南岗,4室3厅 ,91.74, 南 , 精装 ,38, 2019年 , 塔楼,9, 一年前发布,2750000.0,"29,977元/平",VR房源 房本满两年 
滨江东蕞具性忦比大三房 中大旁临地铁楼龄新 不容错失,瀚林水岸,滨江东,3室1厅 ,109.28, 东北 , 简装 ,28, 2006年 , 塔楼,17, 一年前发布,6200000.0,"56,735元/平",近地铁 VR看装修 房本满五年 
同福西万科金域华庭复式4房带入户南向采光通风好过五,万科金域华庭,同福,4室2厅 ,108.03, 东南 , 精装 ,33, 2012年 , 塔楼,12, 7个月以前发布,6900000.0,"63,872元/平",近地铁 VR房源 房本满五年 
天河北安静小区，电梯南向3房，采光通风好,侨苑小区(天河区),体育中心,3室1厅 ,102.18, 南 , 简装 ,8, 1997年 , 塔楼,0, 6个月以前发布,5090000.0,"49,815元/平",近地铁 VR房源 房本满五年 
桥虹花园独栋别墅 带前后花园 南北对流近番禺广场地铁,桥虹花园,市桥北,5室3厅 ,243.0, 南 , 精装 ,1, 2002年 , 暂无数据,36, 一年前发布,5400000.0,"22,223元/平",VR房源 房本满五年 
丽晶华庭 高楼层复式 精装修四房 户型方正实用,丽晶华庭,珠江新城西,4室2厅 ,238.66, 北 , 精装 ,30, 1998年 , 塔楼,122, 8个月以前发布,22888000.0,"95,903元/平",VR房源 房本满两年 
和馨雅居 电梯高层复式舒适大三房 视野开阔 房大厅大,和馨雅居,新市,3室2厅 ,120.47, 北 , 简装 ,11, 2002年 , 塔楼,4, 一年前发布,2800000.0,"23,243元/平",VR房源 房本满五年 
光大二期 正规四房 2梯3户 望花园 精装修,光大花园榕景四季,工业大道北,4室2厅 ,139.73, 北 , 精装 ,18, 2004年 , 塔楼,9, 7个月以前发布,8000000.0,"57,254元/平",近地铁 VR看装修 房本满五年 
珠江俊园3房2卫格局方正.通风采光保养好.诚心出,珠江俊园,华景新城,3室2厅 ,120.81, 西 西北 东北 , 精装 ,28, 2007年 , 塔楼,8, 一年前发布,9850000.0,"81,533元/平",VR看装修 房本满五年 
天河北安静小区，电梯南向3房，采光通风好,侨苑小区(天河区),体育中心,3室1厅 ,102.18, 南 , 简装 ,8, 1997年 , 塔楼,0, 6个月以前发布,5090000.0,"49,815元/平",近地铁 VR房源 房本满五年 
和馨雅居 电梯高层复式舒适大三房 视野开阔 房大厅大,和馨雅居,新市,3室2厅 ,120.47, 北 , 简装 ,11, 2002年 , 塔楼,4, 一年前发布,2800000.0,"23,243元/平",VR房源 房本满五年 
桥虹花园独栋别墅 带前后花园 南北对流近番禺广场地铁,桥虹花园,市桥北,5室3厅 ,243.0, 南 , 精装 ,1, 2002年 , 暂无数据,36, 一年前发布,5400000.0,"22,223元/平",VR房源 房本满五年 
好房出街 电梯中高层   南向大三房,华港花园,天河公园,3室2厅 ,109.66, 南 , 其他 ,10, 2004年 , 板楼,4, 8个月以前发布,7980000.0,"72,771元/平",近地铁 VR看装修 房本满五年 
业主自住精装修，已做双阳台，复式三房，拎包入住,万科尚城御府,南岗,3室1厅 ,75.31, 西北 , 精装 ,34, 2018年 , 板楼,3, 3个月以前发布,2270000.0,"30,143元/平",VR房源 房本满两年 
此房视野开阔，采光充足，近地铁口，交通方便。,荔富湖畔,朱村,2室2厅 ,77.24, 北 , 其他 ,18, 2015年 , 塔楼,2,28,760000.0,"9,840元/平",近地铁 VR看装修 房本满五年 随时看房 
体育东南雅苑 大三房两卫 双阳台 视野好精装修,南雅苑,天河南,3室2厅 ,100.53, 南 北 , 精装 ,8, 1992年 , 塔楼,30, 一年前发布,5000000.0,"49,737元/平",VR看装修 房本满两年 
产权清晰 满五年唯一 税费少 通风采光好 交通便利,信达大厦,大沙地,3室2厅 ,98.17, 西北 , 精装 ,9, 2000年 , 板塔结合,1, 1个月以前发布,3200000.0,"32,597元/平",近地铁 VR看装修 房本满五年 
富丽广场  2房 靓装修 业主诚心出shou,富丽广场,大石,2室1厅 ,56.2, 南 西 , 精装 ,6, 1995年 , 板楼,5, 1个月以前发布,1200000.0,"21,353元/平",VR看装修 房本满五年 
如意花园 框架结构 带30方的露台 看房方便,如意花园,洛溪,2室1厅 ,60.0, 南 , 简装 ,8, 1993年 , 板楼,0, 1个月以前发布,1400000.0,"23,334元/平",近地铁 VR看装修 房本满五年 
东方名都花园 3室2厅 北,东方名都花园,白江,3室2厅 ,96.01, 北 , 简装 ,29, 2013年 , 塔楼,0, 1个月以前发布,1660000.0,"17,290元/平",近地铁 VR房源 房本满五年 
仁安花园 3室1厅 南,仁安花园,朱村,3室1厅 ,128.18, 南 , 精装 ,9, 2017年 , 塔楼,0, 1个月以前发布,1450000.0,"11,313元/平",近地铁 VR看装修 房本满两年 随时看房 
满五年 中高层东南向  位置安静 使用率高 诚出,广州星河湾畅心园,星河湾,2室1厅 ,87.5, 东 , 精装 ,9, 2001年 , 塔楼,0, 1个月以前发布,3500000.0,"40,000元/平",VR看装修 房本满五年 
尚城大三房装修保养好 拎包入住使用率高,万科尚城御府,南岗,3室1厅 ,76.02, 西南 , 精装 ,34, 2016年 , 板楼,4, 1个月以前发布,2180000.0,"28,677元/平",VR房源 房本满两年 
2房 可公积金 东南向精装修 1公里地铁口,骏兴楼,市桥,2室1厅 ,41.8, 南 , 精装 ,7, 2001年 , 塔楼,1, 1个月以前发布,700000.0,"16,747元/平",VR看装修 房本满五年 
三楼实际五六楼中航城复式 户型方正实用 南北对流,保利中航城花园一期,朱村,3室1厅 ,95.65, 南 , 精装 ,26, 2019年 , 板楼,4, 1个月以前发布,1290000.0,"13,487元/平",VR房源 房本满两年 
次新房，景观好，楼龄新，位置佳，户型方正，位置安静,峰湖御境,科学城,3室1厅 ,91.65, 北 , 精装 ,33, 2018年 , 塔楼,2, 1个月以前发布,3200000.0,"34,916元/平",VR看装修 房本满两年 
户型方正，南向望园区，中间楼层，装修保养好,中环品悦,大石,2室1厅 ,59.68, 西南 , 精装 ,19, 2013年 , 塔楼,5, 1个月以前发布,1450000.0,"24,297元/平",VR房源 房本满五年 
楼层好 望花园 视野开阔 南向 保养好 楼龄新,保利学府里,大沙地,3室2厅 ,94.53, 南 , 精装 ,39, 2015年 , 塔楼,0, 1个月以前发布,4880000.0,"51,624元/平",近地铁 VR看装修 房本满五年 
新市 紫薇花园 一梯两户 南北对流 电梯3房,紫薇花园,新市,3室2厅 ,109.89, 南 北 , 简装 ,11, 2006年 , 塔楼,1, 1个月以前发布,3600000.0,"32,761元/平",VR房源 房本满五年 
房子间房都朝南，户型方正，格局通透，采光好，配套.,五羊小区,五羊新城,3室1厅 ,71.94, 东南 西 , 简装 ,9, 1986年 , 塔楼,4, 1个月以前发布,3000000.0,"41,702元/平",近地铁 VR房源 房本满五年 随时看房 
金湖雅苑，精装电梯高层，满五唯一，业主诚意放卖。,金湖雅苑,沙太北,3室1厅 ,98.51, 东南 , 精装 ,19, 2000年 , 塔楼,0, 1个月以前发布,2310000.0,"23,450元/平",VR看装修 房本满五年 
北站时代城，刚需三房精装修，南向看花园，业主诚心卖,时代城,铁路西,3室2厅 ,89.55, 南 东 , 精装 ,30, 2014年 , 塔楼,1, 1个月以前发布,1550000.0,"17,309元/平",VR看装修 房本满五年 随时看房 
太古汇旁原装电梯带大露台 业主诚心放卖,天河东远洋宿舍,体育中心,2室1厅 ,60.21, 东南 , 简装 ,18, 1990年 , 板楼,0, 1个月以前发布,4080000.0,"67,763元/平",近地铁 VR房源 房本满五年 随时看房 
xiehe小包98年楼龄新双阳台笋盘,西湾路,西村,2室1厅 ,73.12, 南 , 简装 ,8, 1997年 , 塔楼,0, 1个月以前发布,2380000.0,"32,550元/平",近地铁 VR看装修 房本满五年 随时看房 
鸟语花香  小桥流水  明星小区     高层采光好,芳草园,天润路,3室2厅 ,109.18, 西南 , 简装 ,30, 2004年 , 塔楼,2, 1个月以前发布,9200000.0,"84,265元/平",近地铁 VR看装修 房本满五年 
双地铁园林小区 高楼层通风好 楼龄新 满五唯一 可三房,都市兰亭花园,员村,2室2厅 ,86.56, 北 , 精装 ,24, 2006年 , 塔楼,1, 1个月以前发布,5190000.0,"59,959元/平",VR房源 房本满五年 
急卖，正南向东方位，满五唯一，南北对流，保养好,凤馨苑,凤凰城,3室2厅 ,97.81, 南 , 精装 ,18, 2002年 , 塔楼,2, 1个月以前发布,1590000.0,"16,257元/平",VR看装修 房本满五年 
自由人花园，可拎包入住，方正实用，东南单边位，朝南,自由人花园,镜湖大道,5室1厅 ,152.47, 南 , 其他 ,29, 2013年 , 塔楼,2, 1个月以前发布,2720000.0,"17,840元/平",VR房源 房本满两年 
房子满五唯一省税，中间楼层，采光通风好,碧桂园天玺湾,进港大道,3室2厅 ,117.42, 东北 , 精装 ,18, 2014年 , 板塔结合,0, 1个月以前发布,2250000.0,"19,162元/平",VR房源 房本满五年 随时看房 
地铁口南向4房，位置安静，装修保养好,尚东阳光,沙村,4室1厅 ,108.46, 南 , 其他 ,32, 2016年 , 塔楼,1, 1个月以前发布,1850000.0,"17,057元/平",近地铁 VR看装修 房本满两年 
白天鹅花园 一期电梯高楼层精装两房 看房方便,白天鹅花园,沙太北,2室2厅 ,76.34, 西 , 精装 ,9, 2004年 , 塔楼,3, 1个月以前发布,2750000.0,"36,024元/平",VR房源 房本满五年 
天河阳光假日园 方正大两房 安静望花园 采光好,阳光假日园,棠下,2室1厅 ,79.27, 西南 , 精装 ,16, 2009年 , 塔楼,3, 1个月以前发布,4250000.0,"53,615元/平",近地铁 VR房源 房本满五年 
此房满五，楼层好，采光充足，交通便利,金碧新城,石井,2室1厅 ,62.63, 东 , 精装 ,11, 2004年 , 塔楼,4, 1个月以前发布,1830000.0,"29,220元/平",近地铁 VR看装修 房本满五年 
佳兆业 南向复式四房三卫 中楼层 自住保养好 有双阳台,佳兆业城市广场,南岗,4室2厅 ,91.65, 南 , 精装 ,38, 2019年 , 塔楼,0, 1个月以前发布,2790000.0,"30,442元/平",VR房源 房本满两年 
东逸三期安静望公园 远眺火炉山 视野开阔 三房带主卫,新世界东逸花园,天河公园,3室2厅 ,126.66, 东北 , 其他 ,28, 2003年 , 塔楼,2, 1个月以前发布,9800000.0,"77,373元/平",近地铁 VR看装修 房本满五年 
地铁口物业 小区醉靓四房两卫 大阳台,广隆苑,金洲,4室2厅 ,134.72, 东南 , 精装 ,6, 2008年 , 板楼,4, 1个月以前发布,1880000.0,"13,955元/平",近地铁 VR看装修 房本满两年 
越秀上品轩 西门口地铁站上 稀有南向三房带主套,越秀上品轩,西门口,3室1厅 ,105.53, 西南 , 其他 ,31, 2010年 , 塔楼,3, 1个月以前发布,7780000.0,"73,724元/平",近地铁 VR看装修 房本满两年 
天河公园 金融城 环境优美 鸟语花香 实用 大三房,粤和楼,天河公园,3室2厅 ,98.0, 北 , 精装 ,18, 2000年 , 塔楼,0, 1个月以前发布,4800000.0,"48,980元/平",VR房源 房本满两年 
祈福新村湖景一楼前后花园。一手业主,祈福新村湖景居,祈福新村,3室2厅 ,79.2, 北 , 精装 ,4, 1998年 , 板楼,3, 7个月以前发布,2090000.0,"26,389元/平",VR看装修 房本满五年 随时看房 
锦绣御景国际大三房市区 地铁 税率低配套成熟,锦绣御景国际二期,荔城西区,3室2厅 ,110.13, 西北 , 精装 ,32, 2013年 , 塔楼,0, 3个月以前发布,1380000.0,"12,531元/平",VR看装修 房本满五年 随时看房 
保利城花园三期 中高楼层 南向3房2卫,保利城,铁路西,3室2厅 ,100.42, 南 , 精装 ,25, 2012年 , 塔楼,2, 4个月以前发布,1260000.0,"12,548元/平",近地铁 VR看装修 房本满五年 随时看房 
东南向望花园毛坯实用两房  安静宜居 看房方便,翡翠绿洲育才阳光苑,凤凰城,2室2厅 ,87.7, 东南 , 毛坯 ,17, 2011年 , 塔楼,0, 4个月以前发布,1250000.0,"14,254元/平",VR看装修 房本满五年 随时看房 
独栋，南向三房两卫，中高楼层，一线看别墅,碧桂园凤凰城凤锦苑,凤凰城,3室2厅 ,118.76, 北 , 精装 ,20, 2002年 , 塔楼,0, 10个月以前发布,1680000.0,"14,147元/平",VR看装修 房本满五年 随时看房 
广州敏捷绿湖首府一期 3室2厅 南,广州敏捷绿湖首府一期,石滩镇,3室2厅 ,115.03, 南 , 简装 ,32, 2016年 , 塔楼,2, 9个月以前发布,920000.0,"7,998元/平",VR看装修 房本满五年 随时看房 
此房满五唯一，视野开阔，南向望园林,时代外滩,厦滘,3室2厅 ,134.6, 南 北 , 精装 ,31, 2012年 , 塔楼,12, 5个月以前发布,6500000.0,"48,292元/平",近地铁 VR看装修 房本满五年 随时看房 
时代城三房，高楼层，采光通透，格局方正,时代城,铁路西,3室2厅 ,85.7, 东南 , 精装 ,30, 2010年 , 塔楼,0, 2个月以前发布,1290000.0,"15,053元/平",VR看装修 房本满五年 随时看房 
力诚凯怡湾南向三房 业主诚意出手,力诚凯怡湾,新塘南,3室1厅 ,86.27, 西南 , 精装 ,31, 2013年 , 板楼,0, 一年前发布,1100000.0,"12,751元/平",VR看装修 房本满五年 随时看房 
实地蔷薇大四房，智能化小区，园林优美,实地蔷薇国际,荔城西区,4室2厅 ,127.49, 南 , 简装 ,32, 2020年 , 暂无数据,0, 11个月以前发布,1520000.0,"11,923元/平",VR看装修 房本满两年 随时看房 
南向望花园江景房 满二唯一 保养好，全小区性嫁比蕞髙,敏捷锦绣天伦,新塘北,3室2厅 ,90.55, 南 , 精装 ,32, 2014年 , 塔楼,2, 2个月以前发布,1398000.0,"15,439元/平",VR房源 房本满两年 随时看房 
万科城市花园，南向大三房，安静不吵,万科城市花园,文冲,3室1厅 ,112.37, 南 , 精装 ,11, 2003年 , 塔楼,16, 3个月以前发布,4100000.0,"36,487元/平",近地铁 VR看装修 房本满两年 随时看房 
侨建御溪谷南区 精装修三房 近地铁口 交通便利,侨建御溪谷南区,中新镇,3室2厅 ,98.37, 南 , 精装 ,10, 2017年 , 板塔结合,173, 一年前发布,1200000.0,"12,199元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正，大三房视野开阔，交通便利，出行方便,人盛巴厘天地,神岗镇,3室2厅 ,127.23, 南 , 毛坯 ,17, 2012年 , 塔楼,1, 3个月以前发布,970000.0,"7,624元/平",VR看装修 房本满五年 随时看房 
四期就这一套南向四房两卫，全屋新装修，高层视野好,金碧世纪花园,大沙地,4室2厅 ,108.44, 东南 , 精装 ,32, 2006年 , 塔楼,89, 2个月以前发布,4600000.0,"42,420元/平",VR看装修 房本满五年 随时看房 
店长推荐 友谊大厦  南向三房  有管理  近地铁,友谊大厦,市桥,3室2厅 ,109.28, 南 , 精装 ,7, 1995年 , 塔楼,14, 7个月以前发布,1650000.0,"15,099元/平",近地铁 VR看装修 房本满五年 随时看房 
嘉汇城一期  中高层望花园  三房带装修 看房方便,嘉汇城一期,镜湖大道,3室2厅 ,115.19, 南 , 精装 ,32, 2016年 , 塔楼,4, 一年前发布,1750000.0,"15,193元/平",VR看装修 房本满两年 随时看房 
业主急 科学城 刚需户型 视野无遮挡南北对流,万科里享家,黄埔永和,3室2厅 ,85.85, 南 , 精装 ,30, 2017年 , 塔楼,9, 2个月以前发布,1430000.0,"16,657元/平",VR看装修 房本满两年 随时看房 
14号线太平中高层南线视野好三房,大城云山,太平镇,3室1厅 ,105.29, 南 , 毛坯 ,22, 2016年 , 塔楼,3, 7个月以前发布,780000.0,"7,409元/平",近地铁 VR看装修 房本满两年 随时看房 
从化温泉富力泉天下 度假休闲舒适南向三房 满山负离子,富力泉天下,温泉镇,3室1厅 ,122.6, 南 , 精装 ,18, 2012年 , 塔楼,3, 9个月以前发布,800000.0,"6,526元/平",VR房源 房本满五年 随时看房 
中层 南向复式 全屋定制装修  拎包入住,佳兆业城市广场,南岗,4室1厅 ,91.44, 东南 , 简装 ,38, 2019年 , 塔楼,4, 1个月以前发布,2700000.0,"29,528元/平",VR房源 房本满两年 随时看房 
长隆汉溪站保利红馆上车三房 正南向无遮挡,保利红馆,汉溪长隆,3室2厅 ,72.45, 南 , 精装 ,18, 2017年 , 板塔结合,11, 3个月以前发布,3750000.0,"51,760元/平",近地铁 VR房源 房本满两年 随时看房 
南向温馨两房，户型方正实用，采光充足视野开阔,实地常春藤,黄埔永和,2室1厅 ,74.39, 南 , 精装 ,29, 2017年 , 塔楼,6, 2个月以前发布,1350000.0,"18,148元/平",VR房源 房本满两年 随时看房 
够五年南向三房一厅二卫，生活便利，没欠款，诚心卖,金色港湾,新塘南,3室1厅 ,81.56, 南 , 简装 ,7, 2006年 , 塔楼,11, 一年前发布,860000.0,"10,545元/平",VR房源 房本满五年 随时看房 
电梯中层四房带主套 安静望花园 通风采光好 过5年,海龙湾,南浦,4室1厅 ,131.5, 西北 , 精装 ,11, 2004年 , 塔楼,5, 2个月以前发布,3300000.0,"25,096元/平",VR房源 房本满五年 随时看房 
新上 采光好 方正三房 业主急卖 看房方便,洛湖居,洛溪,3室1厅 ,81.0, 东 , 精装 ,6, 1999年 , 塔楼,5, 2个月以前发布,1800000.0,"22,223元/平",近地铁 VR房源 房本满五年 随时看房 
科学城精装大三房，业主自住保养好,实地常春藤,黄埔永和,3室1厅 ,99.0, 南 , 精装 ,25, 2018年 , 塔楼,8, 2个月以前发布,1950000.0,"19,697元/平",VR看装修 房本满两年 随时看房 
尚城大三房，南向望花园，两层楼的体验，26平大主卧,万科尚城御府,南岗,3室2厅 ,77.93, 南 , 精装 ,35, 2016年 , 板楼,6, 6个月以前发布,2050000.0,"26,306元/平",VR房源 房本满两年 随时看房 
黄埔花园   7号线+13号线双地铁配套成熟 中高层两房,黄埔花园,黄埔区府,2室1厅 ,77.7, 北 , 精装 ,11, 2004年 , 塔楼,77, 2个月以前发布,3200000.0,"41,185元/平",近地铁 VR房源 房本满两年 随时看房 
满五唯一 高楼层 通风采光好 地铁口物业,东方名都花园,白江,3室2厅 ,95.9, 西南 , 精装 ,29, 2013年 , 塔楼,23, 一年前发布,1680000.0,"17,519元/平",近地铁 VR房源 房本满五年 随时看房 
21号线凤岗地铁两房 可任意装修 满五年 唯一,西福蓝湾,朱村,2室1厅 ,70.67, 北 , 毛坯 ,25, 2017年 , 板塔结合,35, 一年前发布,880000.0,"12,453元/平",VR看装修 房本满五年 随时看房 
保养新净，配套好成熟，中间楼层，视野开阔采光充足,骏威锦东花园B区,新区,3室1厅 ,124.59, 南 , 精装 ,19, 2007年 , 塔楼,2, 1个月以前发布,2450000.0,"19,665元/平",近地铁 VR房源 房本满五年 随时看房 
采光充足 视野开阔 格局方正实用，通风采光好带车位,天马丽苑二期,铁路西,3室2厅 ,100.0, 西南 , 精装 ,33, 2007年 , 塔楼,1, 2个月以前发布,1250000.0,"12,500元/平",VR看装修 房本满五年 随时看房 
幸福誉两房 采光好 视野开阔 装修保养好,万科幸福誉,知识城,2室1厅 ,72.15, 东北 , 精装 ,34, 2014年 , 塔楼,1, 2个月以前发布,1540000.0,"21,345元/平",VR房源 房本满两年 随时看房 
区政府板块，南向三房，小区配套齐全,保利罗兰国际,科学城,3室1厅 ,98.51, 南 , 精装 ,33, 2017年 , 塔楼,1, 1个月以前发布,3900000.0,"39,590元/平",近地铁 VR房源 房本满两年 随时看房 
星力时代豪庭  次新小区 南北对流 精装修 可拎包入住,星力时代豪庭,市桥北,3室2厅 ,114.72, 南 北 , 精装 ,28, 2017年 , 塔楼,2, 10个月以前发布,3050000.0,"26,587元/平",VR看装修 房本满五年 随时看房 
祈福辉煌台 户型格局方正 地铁口物业 采光通风佳,祈福辉煌台,铁路西,2室1厅 ,65.66, 东南 东 , 精装 ,28, 2007年 , 塔楼,26, 8个月以前发布,845000.0,"12,870元/平",近地铁 VR看装修 房本满五年 随时看房 
实地常春藤精装三房。看花园视野开阔。户型方正,实地常春藤,黄埔永和,3室2厅 ,100.06, 南 , 精装 ,32, 2018年 , 塔楼,5, 1个月以前发布,1990000.0,"19,889元/平",VR看装修 房本满两年 随时看房 
惠二期次新房 白江400米空中花园小区 高层包增值税,惠百氏广场,白江,2室1厅 ,75.99, 北 , 精装 ,32, 2019年 , 塔楼,4, 3个月以前发布,1300000.0,"17,108元/平",近地铁 VR房源 房本满两年 随时看房 
急卖，近门岗，满五无贷过户快，采光通风好，生活便利,凤馨苑,凤凰城,3室2厅 ,92.46, 西 , 精装 ,18, 2002年 , 塔楼,4, 3个月以前发布,1260000.0,"13,628元/平",VR看装修 房本满五年 随时看房 
番禺CBD板块次新小区东南向精装修未住过实用3房,中环品悦,大石,3室2厅 ,99.66, 南 , 精装 ,19, 2013年 , 塔楼,2, 1个月以前发布,2900000.0,"29,099元/平",VR看装修 房本满五年 随时看房 
业主诚意卖 满五唯一大三房 厅出阳台,联发名苑,粤垦,3室1厅 ,106.35, 南 西南 , 简装 ,9, 1996年 , 塔楼,0, 1个月以前发布,2460000.0,"23,132元/平",VR看装修 房本满五年 
后天河北 天一新村加装电梯南向大三房 户型方方正正,天一新村,粤垦,3室2厅 ,97.3, 南 , 简装 ,6, 2008年 , 塔楼,1, 1个月以前发布,4500000.0,"46,249元/平",VR房源 房本满两年 
低层三房 南向双阳台带主套 整体保养很好,基立大厦,前进路,3室2厅 ,104.79, 南 , 精装 ,9, 1998年 , 塔楼,0, 1个月以前发布,3450000.0,"32,923元/平",近地铁 VR看装修 房本满五年 
地铁口南北对流双阳台户型中高层大三房 视野开阔,中大城,金洲,3室2厅 ,128.04, 南 北 , 精装 ,30, 2013年 , 塔楼,4, 1个月以前发布,2200000.0,"17,183元/平",VR房源 房本满两年 
光大三期 高层江景房 证过五年唯一物业,光大花园榕岸,工业大道北,3室2厅 ,122.4, 西北 , 简装 ,33, 2006年 , 塔楼,5, 1个月以前发布,8000000.0,"65,360元/平",近地铁 VR看装修 房本满五年 
金湖雅苑，精装电梯高层，满五唯一，业主诚意放卖。,金湖雅苑,沙太北,3室1厅 ,98.51, 东南 , 精装 ,19, 2000年 , 塔楼,0, 1个月以前发布,2310000.0,"23,450元/平",VR看装修 房本满五年 
新市 紫薇花园 一梯两户 南北对流 电梯3房,紫薇花园,新市,3室2厅 ,109.89, 南 北 , 简装 ,11, 2006年 , 塔楼,1, 1个月以前发布,3600000.0,"32,761元/平",VR房源 房本满五年 
三期楼龄新，中楼层江景房，视野开阔通风采光好,美林海岸,员村,2室1厅 ,75.89, 西南 , 简装 ,18, 2003年 , 塔楼,0, 1个月以前发布,5600000.0,"73,792元/平",近地铁 VR看装修 房本满五年 
房子间房都朝南，户型方正，格局通透，采光好，配套.,五羊小区,五羊新城,3室1厅 ,71.94, 东南 西 , 简装 ,9, 1986年 , 塔楼,4, 1个月以前发布,3000000.0,"41,702元/平",近地铁 VR房源 房本满五年 随时看房 
凯粤湾大二房 中低层  朝南望中庭花园  安静舒适,新世界凯粤湾,滘口,2室2厅 ,88.51, 西南 , 精装 ,33, 2012年 , 塔楼,1, 1个月以前发布,3880000.0,"43,837元/平",近地铁 VR房源 房本满两年 
共和路十牌楼房，加装电梯三房一厅，南北向，户型方正,共和路,杨箕,3室1厅 ,64.42, 南 北 , 精装 ,9, 1992年 , 塔楼,1, 1个月以前发布,4750000.0,"73,735元/平",近地铁 VR房源 房本满五年 
祥景花园实用南向两房   精致装修  景鸿街122号,祥景花园AC区,黄石,2室1厅 ,57.59, 南 , 精装 ,9, 2000年 , 塔楼,6, 1个月以前发布,1500000.0,"26,047元/平",VR看装修 房本满五年 
东南向看小区比较安静，四房带个大露台,京溪尚苑,京溪,4室1厅 ,93.27, 南 , 精装 ,9, 2000年 , 塔楼,4, 1个月以前发布,3100000.0,"33,237元/平",近地铁 VR房源 房本满五年 
天河阳光假日园 方正大两房 安静望花园 采光好,阳光假日园,棠下,2室1厅 ,79.27, 西南 , 精装 ,16, 2009年 , 塔楼,3, 1个月以前发布,4250000.0,"53,615元/平",近地铁 VR房源 房本满五年 
隆康花园  电梯两房  视野开阔  采光通风好,隆康花园,白云大道南,2室2厅 ,75.87, 东南 西北 , 精装 ,9, 2002年 , 塔楼,0, 1个月以前发布,3250000.0,"42,837元/平",近地铁 VR房源 房本满两年 
北站时代城，刚需三房精装修，南向看花园，业主诚心卖,时代城,铁路西,3室2厅 ,89.55, 南 东 , 精装 ,30, 2014年 , 塔楼,1, 1个月以前发布,1550000.0,"17,309元/平",VR看装修 房本满五年 随时看房 
太古汇旁原装电梯带大露台 业主诚心放卖,天河东远洋宿舍,体育中心,2室1厅 ,60.21, 东南 , 简装 ,18, 1990年 , 板楼,0, 1个月以前发布,4080000.0,"67,763元/平",近地铁 VR房源 房本满五年 随时看房 
房子满五唯一，户型方正，南向三房.,富力半岛,罗冲围,3室2厅 ,70.03, 西南 , 简装 ,7, 1998年 , 塔楼,1, 1个月以前发布,1990000.0,"28,417元/平",VR房源 房本满五年 
汇富花园 带50㎡私人平台 全屋精装修 满五唯一 幼儿园,汇富花园,燕塘,3室1厅 ,78.3, 南 , 精装 ,9, 1995年 , 塔楼,3, 1个月以前发布,3500000.0,"44,700元/平",近地铁 VR房源 房本满五年 
高层采光好，户型方正，正南向，环境安静,新燕花园,燕塘,3室1厅 ,80.16, 南 , 其他 ,9, 2004年 , 塔楼,1, 1个月以前发布,4100000.0,"51,148元/平",近地铁 VR房源 房本满两年 
广园新村 一梯两户 南北对流 三阳台 电梯大三房,景泰新村,景泰,3室1厅 ,88.88, 南 北 , 其他 ,9, 1992年 , 塔楼,3, 1个月以前发布,2660000.0,"29,928元/平",VR看装修 房本满五年 
华港四期南向小三房 带平台 看房方便,华港花园,天河公园,3室2厅 ,87.42, 西南 , 精装 ,28, 2004年 , 板塔结合,4, 1个月以前发布,6680000.0,"76,413元/平",近地铁 VR房源 房本满五年 
省级八一 低层 南北对流 厅出阳台南向 全明屋,共和苑,杨箕,2室1厅 ,49.37, 南 北 , 精装 ,6, 1992年 , 板楼,3, 1个月以前发布,2330000.0,"47,195元/平",近地铁 VR看装修 房本满五年 随时看房 
星河盛世   南北对流大三房 无欠款，看房方便,星河盛世,进港大道,3室2厅 ,124.75, 南 , 精装 ,25, 2014年 , 塔楼,0, 1个月以前发布,2660000.0,"21,323元/平",VR房源 房本满两年 随时看房 
东兴小区 封闭式管理 南向两房 安静不吵,东兴小区,五羊新城,2室1厅 ,67.98, 西南 , 简装 ,9, 1992年 , 塔楼,4, 1个月以前发布,3080000.0,"45,308元/平",近地铁 VR看装修 房本满五年 随时看房 
低总價小三房 框架结构 省东风西未占 大院环境近地铁,解放北路(越秀区),盘福,3室1厅 ,41.46, 南 北 , 其他 ,9, 1990年 , 塔楼,2, 1个月以前发布,1820000.0,"43,898元/平",VR看装修 房本满两年 随时看房 
